Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Intestinal absorption (human),Skin Permeability,P-glycoprotein substrate,P-glycoprotein I inhibitor,P-glycoprotein II inhibitor,VDss (human),Fraction unbound (human),BBB permeability,CNS permeability,CYP2D6 substrate,CYP3A4 substrate,CYP1A2 inhibitior,CYP2C19 inhibitior,CYP2C9 inhibitior,CYP2D6 inhibitior,CYP3A4 inhibitior,Total Clearance,Renal OCT2 substrate,AMES toxicity,Max. tolerated dose (human),hERG I inhibitor,hERG II inhibitor,Oral Rat Acute Toxicity (LD50),Oral Rat Chronic Toxicity (LOAEL),Hepatotoxicity,Skin Sensitisation,<i>T.Pyriformis</i> toxicity,Minnow toxicity,Volume,GPCR Ligand,Ion channel modulator,Kinase inhibitor,Nuclear receptor ligand,Protease inhibidor,Enzyme inhibidor
0.9600,6.1600,3.5582,-3.5582,1.2181,5.1968,0.1924,-6.1600,-0.9600,0.9822,4.5422,5.5245,2.6325,1433.0700,-2.3600,26.0000,33.0000,17.0000,497.3000,-2.8910,-0.6760,0.0000,-2.7350,Yes,No,No,-0.8030,0.3230,-3.1420,-6.0980,No,No,No,No,No,No,No,-1.6950,No,No,0.5280,No,Yes,2.4820,4.2960,Yes,No,0.2850,18.3520,1309.1500,-3.9400,-4.0000,-4.0200,-4.0100,-3.8900,-3.9400
1.2300,6.1300,3.6822,-3.6822,1.3844,4.8970,0.2042,-6.1300,-1.2300,1.2300,4.9100,6.1400,2.6625,1417.0700,-1.4100,26.0000,32.0000,16.0000,477.0700,-2.8910,-0.5530,0.0000,-2.7350,Yes,No,No,-0.7770,0.3280,-2.9540,-5.8490,No,No,No,No,No,No,No,-1.7060,No,No,0.5190,No,Yes,2.4840,4.3450,Yes,No,0.2850,17.5900,1301.4600,-3.9300,-4.0000,-4.0200,-4.0100,-3.8900,-3.9400
1.5760,6.5390,4.0576,-4.0576,1.6581,4.9647,0.2014,-6.5390,-1.5760,1.5986,5.6561,7.2548,2.2535,1477.8990,1.8364,33.0000,17.0000,14.0000,619.7780,-2.8920,1.2290,0.0000,-2.7350,Yes,Yes,No,-0.0060,0.2860,-1.9040,-4.2320,No,Yes,No,No,No,No,No,-1.5850,No,No,0.4510,No,Yes,2.4870,6.1790,Yes,No,0.2850,14.2640,1298.7197,-3.9700,-4.0200,-4.0300,-4.0300,-3.9100,-3.9800
2.1990,6.1280,4.1636,-4.1636,2.2050,3.9310,0.2544,-6.1280,-2.1990,2.5758,6.7393,9.3151,2.6645,1110.3570,2.5247,15.0000,15.0000,4.0000,464.6260,-2.9210,0.9880,32.5150,-2.7350,Yes,Yes,No,-0.0230,0.2070,-1.6830,-3.4990,No,Yes,No,No,No,No,No,0.2440,No,No,-0.1290,No,Yes,2.7140,4.0190,Yes,No,0.2850,9.6020,961.3440,-3.7500,-3.8500,-3.8800,-3.8500,-3.5900,-3.7600
0.8300,6.1600,3.4976,-3.4976,1.1471,5.3321,0.1875,-6.1600,-0.8300,0.8774,4.3724,5.2497,2.6325,555.6300,-0.8500,15.0000,12.0000,8.0000,199.9400,-2.9850,-0.6420,11.2860,-2.7350,Yes,No,No,0.7820,0.4330,-1.1410,-4.2120,No,Yes,No,No,No,No,No,0.2920,No,No,0.2440,No,No,2.6850,3.3760,Yes,No,0.2850,4.3340,511.7500,0.3800,-0.0500,-0.1000,0.0600,0.5900,0.1800
0.6800,5.8800,3.2797,-3.2797,1.0340,5.2015,0.1923,-5.8800,-0.6800,0.7539,4.0339,4.7878,2.9125,555.6300,-0.8500,15.0000,12.0000,8.0000,199.9400,-2.9850,-0.6420,11.2860,-2.7350,Yes,No,No,0.7820,0.4330,-1.1410,-4.2120,No,Yes,No,No,No,No,No,0.2920,No,No,0.2440,No,No,2.6850,3.3760,Yes,No,0.2850,4.3340,511.7500,0.3800,-0.0500,-0.1000,0.0600,0.5900,0.1800
0.7353,6.3060,3.5206,-3.5206,1.1125,5.5707,0.1795,-6.3060,-0.7353,0.8129,4.3335,5.1464,2.4865,701.9940,3.9926,20.0000,7.0000,2.0000,301.7210,-4.0370,0.7740,60.6180,-2.7120,Yes,Yes,Yes,-0.2800,0.2270,-0.9470,-3.3690,No,Yes,No,No,No,No,Yes,0.2680,No,No,-0.3690,No,Yes,3.8650,1.5980,Yes,No,0.2850,3.5950,714.8800,-0.3000,-1.3000,-1.0700,-1.3400,0.1900,-0.8300
0.6490,6.2790,3.4640,-3.4640,1.0657,5.6300,0.1776,-6.2790,-0.6490,0.7512,4.2152,4.9664,2.5135,606.8530,2.0931,11.0000,6.0000,2.0000,258.9870,-3.3190,0.6720,47.2810,-2.7190,Yes,Yes,No,-0.7760,0.3760,-0.4180,-3.2080,No,Yes,No,No,No,No,No,-0.2860,No,No,-0.1710,No,No,3.1240,2.7150,Yes,No,0.2850,4.2480,612.4800,0.1900,-0.4300,-0.2300,0.3600,0.5100,-0.1300
0.0430,0.2190,3.5551,-3.5551,1.3182,4.7941,0.2086,-0.2190,-0.0430,0.0430,0.1740,0.2170,8.5735,155.1600,-3.0000,3.0000,5.0000,4.0000,92.0000,-2.8920,-0.4170,50.7540,-2.7350,Yes,No,No,-0.1850,0.4890,-0.9100,-3.8850,No,No,No,No,No,No,No,0.6680,No,No,0.7780,No,No,2.3700,1.8060,No,No,0.2850,3.7010,136.7900,0.3600,0.7700,-0.4500,-1.8400,0.3300,0.8400
0.0420,0.2490,3.9521,-3.9521,1.3896,5.6202,0.1779,-0.2490,-0.0420,0.0425,0.1880,0.2304,8.5435,165.1900,-1.2300,3.0000,3.0000,3.0000,63.3200,-2.8900,0.6200,76.2100,-2.7340,No,No,No,-0.3260,0.4920,-0.2710,-2.6750,No,No,No,No,No,No,No,0.4520,No,No,0.9350,No,No,2.1930,1.9540,Yes,No,0.2690,2.2470,155.9600,-0.2200,0.3400,-0.8900,-0.5300,-0.0900,0.1600
0.0440,0.2060,3.3980,-3.3980,1.3100,4.4069,0.2269,-0.2060,-0.0440,0.0441,0.1691,0.2132,8.5865,204.2300,-1.0800,3.0000,4.0000,4.0000,79.1100,-2.8910,0.6380,77.2240,-2.7350,Yes,No,No,-0.0810,0.5770,-0.4950,-2.6220,No,No,No,No,No,No,No,0.6400,No,No,0.7930,No,No,2.3570,1.2310,No,No,0.2850,1.8350,184.9400,0.3300,0.5400,-0.1300,-0.2200,0.1500,0.4400
0.0420,0.2260,3.6407,-3.6407,1.3206,5.0186,0.1993,-0.2260,-0.0420,0.0421,0.1761,0.2182,8.5665,181.1900,-1.7100,3.0000,4.0000,4.0000,83.5500,-2.8900,0.5530,73.0140,-2.7350,Yes,No,No,-0.2250,0.5350,-0.6980,-2.8430,No,No,No,No,No,No,No,0.4360,No,No,0.9630,No,No,2.1970,2.0360,No,No,0.2750,2.5040,163.9800,-0.0800,0.4100,-0.6800,-0.2000,-0.0400,0.2700
0.7630,6.0820,3.4225,-3.4225,1.1011,5.3190,0.1880,-6.0820,-0.7630,0.8234,4.2459,5.0693,2.7105,1007.2070,-3.6086,17.0000,15.0000,12.0000,407.1080,-2.8860,0.9860,0.0000,-2.7350,Yes,No,No,-0.4780,0.4150,-1.2590,-5.1740,No,Yes,No,No,No,No,No,-0.9400,No,No,0.5460,No,Yes,2.5500,4.2220,Yes,No,0.2850,12.2710,896.3500,0.3620,0.0400,0.0070,-0.0250,0.5680,0.2560
0.8150,6.1300,3.4725,-3.4725,1.1344,5.3150,0.1881,-6.1300,-0.8150,0.8647,4.3372,5.2018,2.6625,2140.4920,-9.7336,38.0000,32.0000,27.0000,865.6870,-2.8920,0.0090,0.0000,-2.7350,Yes,No,Yes,-0.0620,0.3730,-2.8640,-8.5620,No,Yes,No,No,No,No,No,-3.2620,No,No,0.4380,No,Yes,2.4820,8.8850,Yes,No,0.2850,27.3190,947.3000,0.4070,0.1100,0.0590,0.0070,0.5500,0.2720
1.2500,5.9600,3.6062,-3.6062,1.3829,4.7019,0.2127,-5.9600,-1.2500,1.2511,4.8561,6.1072,2.8325,2000.3480,-15.5882,76.0000,32.0000,38.0000,810.7090,-2.8920,-2.0050,0.0000,-2.7350,Yes,No,No,0.0110,0.3810,-7.0890,-12.2710,No,Yes,No,No,No,No,No,-0.5190,No,No,0.4380,No,No,2.4820,9.2380,No,No,0.2850,30.1840,1694.9487,-4.0800,-4.1000,-4.1200,-4.1300,-4.0500,-4.0800
1.1100,5.6200,3.3656,-3.3656,1.2577,4.5032,0.2221,-5.6200,-1.1100,1.1101,4.4751,5.5851,3.1725,2000.3480,-15.5882,76.0000,32.0000,38.0000,810.7090,-2.8920,-2.0050,0.0000,-2.7350,Yes,No,No,0.0110,0.3810,-7.0890,-12.2710,No,Yes,No,No,No,No,No,-0.5190,No,No,0.4380,No,No,2.4820,9.2380,No,No,0.2850,30.1840,1694.9487,-4.0800,-4.1000,-4.1200,-4.1300,-4.0500,-4.0800
1.0020,5.6200,3.3101,-3.3101,1.1866,4.6170,0.2166,-5.6200,-1.0020,2.5383,1.2258,3.7641,3.1725,1143.2900,-4.0600,33.0000,16.0000,15.0000,4626.8000,-2.8920,-1.0490,0.0000,-2.7350,No,No,No,-0.1660,0.2560,-2.6300,-6.0180,No,No,No,No,No,No,No,0.2360,No,No,0.4390,No,No,2.4830,6.9640,Yes,No,0.2850,9.8180,974.7300,0.3380,0.0720,-0.0240,0.0100,0.4850,0.3410
