Afinidad electrÃ³nica,Potencial de IonizaciÃ³n,Electronegatividad,Potencial QuÃ­mico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,poder electroaceptor,Electrofilicidad neta,Nucleofilicidad
1.4942,6.0954,3.7948,-3.7948,1.5648,4.6012,0.2173,-6.0954,-1.4942,5.3146,1.5199,6.8345,2.6971
1.6403,6.0698,3.855,-3.855,1.6776,4.4295,0.2258,-6.0698,-1.6403,5.5595,1.7044,7.2639,2.7227
1.3361,6.0219,3.679,-3.679,1.4442,4.6858,0.2134,-6.0219,-1.3361,5.0208,1.3419,6.3627,2.7706
0.9587,6.2902,3.6244,-3.6244,1.232,5.3315,0.1876,-6.2902,-0.9587,4.6093,0.9849,5.5942,2.5023
0.7535,6.3789,3.5662,-3.5662,1.1304,5.6254,0.1778,-6.3789,-0.7535,4.3954,0.8293,5.2247,2.4136
0.7799,6.3247,3.5523,-3.5523,1.1379,5.5449,0.1803,-6.3247,-0.7799,4.3985,0.8462,5.2447,2.4678
1.3241,6.2567,3.7904,-3.7904,1.4564,4.9326,0.2027,-6.2567,-1.3241,5.1162,1.3528,6.469,2.5358
1.0841,6.3422,3.7131,-3.7131,1.3111,5.2581,0.1902,-6.3422,-1.0841,4.8073,1.0942,5.9015,2.4503
0.8504,6.3038,3.5771,-3.5771,1.1732,5.4534,0.1834,-6.3038,-0.8504,4.4757,0.8986,5.3743,2.4887
3.08,4.81,3.95,-3.95,4.49,1.73,0.578034682,-4.81,-3.08,11.06,7.11,18.17,3.9825
2.89,4.58,3.73,-3.73,4.11,1.69,0.591715976,-4.58,-2.89,10.2,6.47,16.67,4.2125
2.76,4.61,3.68,-3.68,3.68,1.85,0.540540541,-4.61,-2.76,9.31,5.63,14.94,4.1825
2.56,4.37,3.47,-3.47,3.32,1.81,0.552486188,-4.37,-2.56,8.49,5.02,13.51,4.4225
2.96,4.89,3.93,-3.93,4,1.93,0.518134715,-4.89,-2.96,10.08,6.15,16.23,3.9025
2.78,4.66,3.72,-3.72,3.67,1.89,0.529100529,-4.66,-2.78,9.32,5.6,14.92,4.1325
2.99,4.5,3.74,-3.74,4.63,1.51,0.662251656,-4.5,-2.99,11.23,7.48,18.71,4.2925
2.79,4.27,3.53,-3.53,4.2,1.48,0.675675676,-4.27,-2.79,10.25,6.72,16.97,4.5225
3.06,4.86,3.96,-3.96,4.37,1.8,0.555555556,-4.86,-3.06,10.82,6.86,17.68,3.9325
2.87,4.63,3.75,-3.75,4.01,1.75,0.571428571,-4.63,-2.87,10.01,6.26,16.27,4.1625
3.02,4.9,3.96,-3.96,4.17,1.88,0.531914894,-4.9,-3.02,10.44,6.48,16.92,3.8925
2.83,4.66,3.75,-3.75,3.83,1.83,0.546448087,-4.66,-2.83,9.65,5.91,15.56,4.1325
2.79,4.58,3.69,-3.69,3.79,1.79,0.558659218,-4.58,-2.79,9.54,5.86,15.4,4.2125
2.59,4.35,3.47,-3.47,3.42,1.76,0.568181818,-4.35,-2.59,8.69,5.23,13.92,4.4425
1.907,5.452,3.679,-3.679,1.909,3.545,0.282087447,-5.452,-1.907,5.88,2.2,8.08,3.3405
1.907,5.542,3.724,-3.724,1.908,3.635,0.275103164,-5.542,-1.907,5.906,2.181,8.087,3.2505
1.927,5.471,3.699,-3.699,1.931,3.544,0.282167043,-5.471,-1.927,5.932,2.233,8.165,3.3215
1.1657,5.476,3.3209,-3.3209,1.2793,4.3103,0.232002413,-5.476,-1.1657,4.4884,1.1675,5.6559,3.3165
1.3543,5.5987,3.4765,-3.4765,1.4238,4.2444,0.235604561,-5.5987,-1.3543,4.8511,1.3746,6.2257,3.1938
1.3856,5.6172,3.5014,-3.5014,1.4486,4.2316,0.236317232,-5.6172,-1.3856,4.9124,1.411,6.3234,3.1753
1.311,5.5495,3.4303,-3.4303,1.3881,4.2384,0.23593809,-5.5495,-1.311,4.7562,1.326,6.0822,3.243
1.3129,5.5792,3.4461,-3.4461,1.3918,4.2662,0.234400638,-5.5792,-1.3129,4.7732,1.3272,6.1004,3.2133
1.4944,5.8959,3.6952,-3.6952,1.5511,4.4014,0.227200436,-5.8959,-1.4944,5.2249,1.5297,6.7546,2.8966
1.4588,5.873,3.6659,-3.6659,1.5222,4.4142,0.226541616,-5.873,-1.4588,5.1533,1.4874,6.6407,2.9195
1.2972,5.5615,3.4293,-3.4293,1.3789,4.2643,0.234505077,-5.5615,-1.2972,4.739,1.3097,6.0487,3.231
1.3184,5.5547,3.4365,-3.4365,1.3939,4.2363,0.236055048,-5.5547,-1.3184,4.7708,1.3343,6.1051,3.2378
