ID,Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Absorción intestinal (humana),Permeabilidad de la piel,Sustrato de la glicoproteína P,Inhibidor de la P-glicoproteína I ,Inhibidor de la P-glicoproteína II,VDss (humano),Fracción no consolidada (humana),Permeabilidad BBB,Permeabilidad del SNC,Sustrato del CYP2D6,Sustrato del CYP3A4,Inhibidor de CYP1A2,Inhibidor de CYP2C19,Inhibidor de CYP2C9,Inhibidor de CYP2D6,Inhibidor de CYP3A4,Liquidación total,Sustrato renal de OCT2,Toxicidad AMES,Dosis máxima tolerada (humana),Inhibidor de hERG I,Inhibidor de hERG II,Toxicidad aguda oral en ratas (DL50),Toxicidad crónica oral en ratas (LOAEL),Hepatotoxicidad,Sensibilización cutánea,Toxicidad de T. Pyriformis,Toxicidad de los pececillos,Volumen, Ligando GPCR ,Modulador del canal iónico,Inhibidor de quinasa,Ligando del receptor nuclear,Inhibidor de proteasa,Inhibidor de enzima
13,1.576,6.539,4.0576,-4.0576,1.6581,4.9647,0.2014,-6.539,-1.576,1.5986,5.6561,7.2548,2.2535,1477.899,1.8364,33,17,14,619.778,-2.892,1.229,0,-2.735,1,1,0,-0.006,0.286,-1.904,-4.232,0,1,0,0,0,0,0,-1.585,0,0,0.451,0,1,2.487,6.179,1,0,0.285,14.264,1298.7197,-3.97,-4.02,-4.03,-4.03,-3.91,-3.98
14,2.199,6.128,4.1636,-4.1636,2.205,3.931,0.2544,-6.128,-2.199,2.5758,6.7393,9.3151,2.6645,1110.357,2.5247,15,15,4,464.626,-2.921,0.988,32.515,-2.735,1,1,0,-0.023,0.207,-1.683,-3.499,0,1,0,0,0,0,0,0.244,0,0,-0.129,0,1,2.714,4.019,1,0,0.285,9.602,961.344,-3.75,-3.85,-3.88,-3.85,-3.59,-3.76
15,0.83,6.16,3.4976,-3.4976,1.1471,5.3321,0.1875,-6.16,-0.83,0.8774,4.3724,5.2497,2.6325,555.63,-0.85,15,12,8,199.94,-2.985,-0.642,11.286,-2.735,1,0,0,0.782,0.433,-1.141,-4.212,0,1,0,0,0,0,0,0.292,0,0,0.244,0,0,2.685,3.376,1,0,0.285,4.334,511.75,0.38,-0.05,-0.1,0.06,0.59,0.18
16,0.68,5.88,3.2797,-3.2797,1.034,5.2015,0.1923,-5.88,-0.68,0.7539,4.0339,4.7878,2.9125,555.63,-0.85,15,12,8,199.94,-2.985,-0.642,11.286,-2.735,1,0,0,0.782,0.433,-1.141,-4.212,0,1,0,0,0,0,0,0.292,0,0,0.244,0,0,2.685,3.376,1,0,0.285,4.334,511.75,0.38,-0.05,-0.1,0.06,0.59,0.18
17,0.7353,6.306,3.5206,-3.5206,1.1125,5.5707,0.1795,-6.306,-0.7353,0.8129,4.3335,5.1464,2.4865,701.994,3.9926,20,7,2,301.721,-4.037,0.774,60.618,-2.712,1,1,1,-0.28,0.227,-0.947,-3.369,0,1,0,0,0,0,1,0.268,0,0,-0.369,0,1,3.865,1.598,1,0,0.285,3.595,714.88,-0.3,-1.3,-1.07,-1.34,0.19,-0.83
18,0.649,6.279,3.464,-3.464,1.0657,5.63,0.1776,-6.279,-0.649,0.7512,4.2152,4.9664,2.5135,606.853,2.0931,11,6,2,258.987,-3.319,0.672,47.281,-2.719,1,1,0,-0.776,0.376,-0.418,-3.208,0,1,0,0,0,0,0,-0.286,0,0,-0.171,0,0,3.124,2.715,1,0,0.285,4.248,612.48,0.19,-0.43,-0.23,0.36,0.51,-0.13
19,0.043,0.219,3.5551,-3.5551,1.3182,4.7941,0.2086,-0.219,-0.043,0.043,0.174,0.217,8.5735,155.16,-3,3,5,4,92,-2.892,-0.417,50.754,-2.735,1,0,0,-0.185,0.489,-0.91,-3.885,0,0,0,0,0,0,0,0.668,0,0,0.778,0,0,2.37,1.806,0,0,0.285,3.701,136.79,0.36,0.77,-0.45,-1.84,0.33,0.84
20,0.042,0.249,3.9521,-3.9521,1.3896,5.6202,0.1779,-0.249,-0.042,0.0425,0.188,0.2304,8.5435,165.19,-1.23,3,3,3,63.32,-2.89,0.62,76.21,-2.734,0,0,0,-0.326,0.492,-0.271,-2.675,0,0,0,0,0,0,0,0.452,0,0,0.935,0,0,2.193,1.954,1,0,0.269,2.247,155.96,-0.22,0.34,-0.89,-0.53,-0.09,0.16
21,0.044,0.206,3.398,-3.398,1.31,4.4069,0.2269,-0.206,-0.044,0.0441,0.1691,0.2132,8.5865,204.23,-1.08,3,4,4,79.11,-2.891,0.638,77.224,-2.735,1,0,0,-0.081,0.577,-0.495,-2.622,0,0,0,0,0,0,0,0.64,0,0,0.793,0,0,2.357,1.231,0,0,0.285,1.835,184.94,0.33,0.54,-0.13,-0.22,0.15,0.44
22,0.042,0.226,3.6407,-3.6407,1.3206,5.0186,0.1993,-0.226,-0.042,0.0421,0.1761,0.2182,8.5665,181.19,-1.71,3,4,4,83.55,-2.89,0.553,73.014,-2.735,1,0,0,-0.225,0.535,-0.698,-2.843,0,0,0,0,0,0,0,0.436,0,0,0.963,0,0,2.197,2.036,0,0,0.275,2.504,163.98,-0.08,0.41,-0.68,-0.2,-0.04,0.27
