ID,Afinidad electronica,Potencial de ionizacion,Electronegatividad,Potencial quimico,Electrofilicidad,Dureza,Blandura,Homo ,Lumo,Poder electrodonador,Poder electroaceptor,Electrofilicidad neta,Nucleofilicidad,Peso molecular,LOGP,Angulos rotables,Aceptores,Donadores,Area superficial,Solubilidad acuosa,Permeabilidad Caco2 ,Absorción intestinal (humana),Permeabilidad de la piel,Sustrato de la glicoproteína P,Inhibidor de la P-glicoproteína I ,Inhibidor de la P-glicoproteína II,VDss (humano),Fracción no consolidada (humana),Permeabilidad BBB,Permeabilidad del SNC,Sustrato del CYP2D6,Sustrato del CYP3A4,Inhibidor de CYP1A2,Inhibidor de CYP2C19,Inhibidor de CYP2C9,Inhibidor de CYP2D6,Inhibidor de CYP3A4,Liquidación total,Sustrato renal de OCT2,Toxicidad AMES,Dosis máxima tolerada (humana),Inhibidor de hERG I,Inhibidor de hERG II,Toxicidad aguda oral en ratas (DL50),Toxicidad crónica oral en ratas (LOAEL),Hepatotoxicidad,Sensibilización cutánea,Toxicidad de T. Pyriformis,Toxicidad de los pececillos,Volumen, Ligando GPCR ,Modulador del canal iónico,Inhibidor de quinasa,Ligando del receptor nuclear,Inhibidor de proteasa,Inhibidor de enzima
350,0.382,6.329,3.355,-3.355,0.947,5.946,0.168180289,-6.329,-0.382,3.943,0.587,4.53,2.4635,1589.908,-5.9792,48,23,23,652.162,-2.892,-1.066,0,-2.735,1,0,0,-0.312,0.397,-5.133,-6.455,0,1,0,0,0,0,0,0.044,0,0,0.441,0,0,2.483,5.578,1,0,0.285,18.506,1688.8,0.267,0.131,0.072,-0.065,0.333,0.25
351,0.275,6.371,3.323,-3.323,0.906,6.096,0.164041995,-6.371,-0.275,3.854,0.531,4.385,2.4215,1587.892,-5.4964,47,21,22,651.508,-2.892,-1.024,0,-2.735,1,0,0,-0.26,0.397,-4.832,-6.023,0,1,0,0,0,0,0,-0.118,0,0,0.439,0,0,2.483,4.952,1,0,0.285,18.217,1658.1,0.298,0.149,0.076,-0.084,0.407,0.242
352,0.578,6.228,3.403,-3.403,1.025,5.649,0.177022482,-6.228,-0.578,4.104,0.701,4.805,2.5645,1567.854,-6.4703,48,23,23,639.997,-2.892,-0.951,0,-2.735,1,0,0,-0.628,0.379,-5.339,-6.089,0,1,0,0,0,0,0,-0.653,0,0,0.451,0,0,2.482,5.148,0,0,0.285,20.863,1651,0.206,0.085,0.004,0.023,0.289,0.183
353,0.308,6.407,3.357,-3.357,0.924,6.099,0.163961305,-6.407,-0.308,3.908,0.551,4.459,2.3855,1567.854,-6.4703,48,23,23,639.997,-2.892,-0.961,0,-2.735,1,0,0,-0.639,0.38,-5.294,-6.089,0,1,0,0,0,0,0,-0.653,0,0,0.453,0,0,2.483,5.058,0,0,0.285,20.863,1651,0.206,0.085,0.004,0.023,0.289,0.183
354,0.35,6.358,3.354,-3.354,0.936,6.008,0.16644474,-6.358,-0.35,3.925,0.571,4.496,2.4345,1567.854,-6.4703,48,23,23,639.997,-2.892,-0.951,0,-2.735,1,0,0,-0.628,0.379,-5.339,-6.089,0,1,0,0,0,0,0,-0.653,0,0,0.451,0,0,2.482,5.148,0,0,0.285,20.863,1651,0.206,0.085,0.004,0.023,0.289,0.183
355,0.234,6.377,3.306,-3.306,0.889,6.143,0.162786912,-6.377,-0.234,3.816,0.51,4.326,2.4155,1450.75,-4.947,43,19,20,595.215,-2.892,-0.74,0,-2.735,1,0,0,-0.951,0.434,-4.391,-5.393,0,1,0,0,0,0,0,-0.283,0,0,0.477,0,0,2.492,4.037,1,0,0.285,16.815,1545.4,0.244,0.107,0.012,0.011,0.378,0.184
356,1.381,6.088,3.767,-3.767,1.563,4.539,0.220312844,-6.088,-1.381,5.294,1.527,6.821,2.7045,612.581,-1.342,10,15,9,245.193,-2.849,0.292,17.347,-2.735,1,0,0,1.088,0.188,-1.612,-4.874,0,0,0,0,0,0,0,0.434,0,0,0.486,0,1,2.503,3.987,0,0,0.285,5.886,521.64,0.092,0.035,-0.116,0.012,0.077,0.339
357,2.576,5.187,3.92,-3.92,2.965,2.592,0.385802469,-5.187,-2.576,8.051,4.131,12.182,3.6055,394.316,1.1358,2,2,2,157.204,-4.803,0.892,93.866,-2.735,1,0,1,-0.834,0.119,0.218,-2.29,0,1,1,1,0,1,0,1.553,0,1,0.502,0,1,2.573,-0.683,0,0,0.286,0.171,298.45,0.078,0.717,-0.193,-0.896,-0.313,0.686
358,2.545,5.325,3.926,-3.926,2.882,2.674,0.373971578,-5.325,-2.545,7.894,3.968,11.862,3.4675,509.743,6.8251,9,4,0,225.378,-6.06,0.982,93.69,-2.735,1,1,1,1.193,0.169,1.212,-0.959,0,1,0,0,0,1,1,0.565,0,1,0.439,0,1,2.274,0.193,1,0,0.289,1.042,493.24,-0.312,-0.145,-0.285,-0.857,-0.528,-0.122
359,-0.29658195,7.392831161,3.548124606,-3.548124606,1.637210543,3.844706555,0.130048937,-7.392831161,0.29658195,3.891861165,0.34373656,4.235597725,1.399668839,423.959,6.5106,9,2,0,183.118,-6.166,1.03,96.88,-2.734,1,1,1,0.129,0.106,1.271,-1.417,0,1,0,1,0,1,0,0.5,0,1,0.286,1,1,2.531,1.976,0,0,0.288,-0.733,394.87,0.12,-0.116,-0.147,0.442,-0.048,0.183
360,-0.303333148,7.386956177,3.541811515,-3.541811515,1.631203753,3.845144662,0.130034119,-7.386956177,0.303333148,3.882752592,0.340941078,4.22369367,1.405543823,423.959,6.5106,9,2,0,183.118,-6.166,1.03,96.88,-2.734,1,1,1,0.129,0.106,1.271,-1.417,0,1,0,1,0,1,0,0.5,0,1,0.286,1,1,2.531,1.976,0,0,0.288,-0.733,394.87,0.12,-0.116,-0.147,0.442,-0.048,0.183
361,-0.250251479,7.504347019,3.62704777,-3.62704777,1.696474102,3.877299249,0.128955742,-7.504347019,0.250251479,3.994660393,0.367612623,4.362273017,1.288152981,423.959,6.5106,9,2,0,183.118,-6.166,1.03,96.88,-2.734,1,1,1,0.129,0.106,1.271,-1.417,0,1,0,1,0,1,0,0.466,0,1,0.286,1,1,2.531,1.976,1,0,0.288,-0.733,394.87,0.175,-0.068,-0.091,0.446,-0.013,0.226
362,-0.26601788,7.494901873,3.614441996,-3.614441996,1.683330244,3.880459877,0.128850707,-7.494901873,0.26601788,3.975608727,0.361166731,4.336775458,1.297598127,423.959,6.5106,9,2,0,183.118,-6.166,1.03,96.88,-2.734,1,1,1,0.129,0.106,1.271,-1.417,0,1,0,1,0,1,0,0.466,0,1,0.286,1,1,2.531,1.976,1,0,0.288,-0.733,394.87,0.175,-0.068,-0.091,0.446,-0.013,0.226
363,-0.353778012,7.322989868,3.484605928,-3.484605928,1.581717549,3.83838394,0.130263154,-7.322989868,0.353778012,3.803818505,0.319212577,4.123031082,1.469510132,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
364,-0.283365275,7.399985091,3.558309908,-3.558309908,1.64792295,3.841675183,0.130151555,-7.399985091,0.283365275,3.907287302,0.348977394,4.256264696,1.392514909,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
365,-0.353769848,7.323074224,3.484652188,-3.484652188,1.581743847,3.838422036,0.130261862,-7.323074224,0.353769848,3.803872695,0.319220507,4.123093202,1.469425776,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
366,-0.361802712,7.316010093,3.47710369,-3.47710369,1.574699772,3.838906403,0.130245426,-7.316010093,0.361802712,3.793114918,0.316011227,4.109126145,1.476489907,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
367,-0.285468732,7.398733357,3.556632312,-3.556632312,1.646186977,3.842101045,0.130137129,-7.398733357,0.285468732,3.904765764,0.348133451,4.252899215,1.393766643,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
368,-0.36188979,7.316102613,3.477106411,-3.477106411,1.574665403,3.838996201,0.130242379,-7.316102613,0.36188979,3.793093133,0.315986722,4.109079855,1.476397387,423.959,6.5122,10,2,0,183.118,-6.209,1.021,96.764,-2.734,1,1,1,0.266,0.11,1.309,-1.457,0,1,0,1,0,1,0,0.555,0,1,0.265,0,1,2.526,1.929,0,0,0.289,-0.272,395.08,0.177,-0.081,-0.064,0.521,0.003,0.217
369,-0.262537517,7.44872923,3.593095856,-3.593095856,1.674217513,3.855633373,0.12968038,-7.44872923,0.262537517,3.952719613,0.359623756,4.312343369,1.34377077,441.949,6.8078,9,2,0,187.283,-6.219,1.032,95.616,-2.735,1,1,1,0.358,0.103,1.238,-1.359,0,1,0,1,0,1,0,0.442,0,1,0.247,1,1,2.558,0.78,0,0,0.29,1.275,399.48,0.145,-0.082,-0.107,0.459,-0.02,0.278
370,-0.193866323,7.58387292,3.695003298,-3.695003298,1.75540076,3.888869622,0.128572066,-7.58387292,0.193866323,4.089011112,0.394007813,4.483018925,1.20862708,441.949,6.8062,9,2,0,187.283,-6.127,1.033,95.721,-2.735,1,1,1,-0.207,0.11,1.295,-1.433,0,1,0,1,0,0,0,0.366,0,1,0.316,0,1,2.445,1.122,1,0,0.286,-2.966,399.82,0.123,-0.099,-0.14,0.414,-0.038,0.188
371,-0.221254798,7.575157045,3.676951123,-3.676951123,1.734127164,3.898205921,0.128264132,-7.575157045,0.221254798,4.059878467,0.382927343,4.44280581,1.217342955,441.949,6.8062,9,2,0,187.283,-6.127,1.033,95.721,-2.735,1,1,1,-0.207,0.11,1.295,-1.433,0,1,0,1,0,0,0,0.366,0,1,0.316,0,1,2.445,1.122,1,0,0.286,-2.966,399.82,0.123,-0.099,-0.14,0.414,-0.038,0.188
372,-0.31837572,7.38689359,3.534258935,-3.534258935,1.621096644,3.852634655,0.129781317,-7.38689359,0.31837572,3.869805443,0.335546508,4.205351952,1.40560641,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
373,-0.234697329,7.476536764,3.620919717,-3.620919717,1.700254388,3.855617046,0.129680929,-7.476536764,0.234697329,3.992666377,0.37174666,4.364413037,1.315963236,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
374,-0.318321297,7.386855494,3.534267098,-3.534267098,1.621123598,3.852588395,0.129782875,-7.386855494,0.318321297,3.869830697,0.335563598,4.205394295,1.405644506,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
375,-0.301436499,7.401514383,3.550038942,-3.550038942,1.636097215,3.851475441,0.129820379,-7.401514383,0.301436499,3.892551117,0.342512175,4.235063291,1.390985617,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
376,-0.238691992,7.473426478,3.617367243,-3.617367243,1.696725202,3.856059235,0.129666058,-7.473426478,0.238691992,3.987416228,0.370048985,4.357465213,1.319073522,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
377,-0.301431057,7.40157969,3.550074317,-3.550074317,1.636117107,3.851505374,0.12981937,-7.40157969,0.301431057,3.892592436,0.34251812,4.235110556,1.39092031,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
378,-0.204318299,7.584087892,3.689884797,-3.689884797,1.748143263,3.894203095,0.128395974,-7.584087892,0.204318299,4.079861048,0.389976252,4.4698373,1.208412108,441.949,6.8062,9,2,0,187.283,-6.127,1.033,95.721,-2.735,1,1,1,-0.207,0.11,1.295,-1.433,0,1,0,1,0,0,0,0.366,0,1,0.316,0,1,2.445,1.122,1,0,0.286,-2.966,399.82,0.123,-0.099,-0.14,0.414,-0.038,0.188
379,-0.223121514,7.566177217,3.671527851,-3.671527851,1.7305944,3.894649365,0.128381262,-7.566177217,0.223121514,4.053189497,0.381661645,4.434851142,1.226322783,441.949,6.8062,9,2,0,187.283,-6.127,1.033,95.721,-2.735,1,1,1,-0.207,0.11,1.295,-1.433,0,1,0,1,0,0,0,0.366,0,1,0.316,0,1,2.445,1.122,1,0,0.286,-2.966,399.82,0.123,-0.099,-0.14,0.414,-0.038,0.188
380,-0.295229533,7.408107753,3.55643911,-3.55643911,1.641919427,3.851668643,0.129813867,-7.408107753,0.295229533,3.901597562,0.345158452,4.246756015,1.384392247,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
381,-0.246493557,7.465755528,3.609630985,-3.609630985,1.68944697,3.856124543,0.129663862,-7.465755528,0.246493557,3.976278031,0.366647045,4.342925076,1.326744472,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
382,-0.29522137,7.408156734,3.556467682,-3.556467682,1.641937109,3.851689052,0.129813179,-7.408156734,0.29522137,3.901632081,0.345164399,4.246796481,1.384343266,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
383,-0.344044422,7.353785236,3.504870407,-3.504870407,1.595789608,3.848914829,0.129906746,-7.353785236,0.344044422,3.829339165,0.324468758,4.153807923,1.438714764,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
384,-0.276042634,7.441237876,3.582597621,-3.582597621,1.663151378,3.858640255,0.129579325,-7.441237876,0.276042634,3.93678022,0.354182599,4.29096282,1.351262124,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
385,-0.343807681,7.353798842,3.50499558,-3.50499558,1.595949855,3.848803262,0.129910511,-7.353798842,0.343807681,3.829548054,0.324552473,4.154100527,1.438701158,441.949,6.8078,10,2,0,187.283,-6.292,1.024,95.605,-2.734,1,1,1,-0.053,0.11,1.333,-1.473,0,1,0,1,0,0,0,0.471,0,1,0.294,0,1,2.479,1.017,0,0,0.286,-2.505,400.04,0.116,-0.113,-0.143,0.428,-0.047,0.178
386,-0.245285362,7.556217771,3.655466204,-3.655466204,1.712802385,3.900751567,0.128180427,-7.556217771,0.245285362,4.028129433,0.372663228,4.400792661,1.236282229,441.949,6.8078,9,2,0,187.283,-6.176,0.998,95.588,-2.735,1,1,1,0.436,0.098,1.238,-1.343,0,1,0,1,0,1,0,0.243,0,1,0.183,1,1,2.551,0.555,1,0,0.291,1.139,399.48,0.01,-0.006,-0.005,0.274,-0.174,0.062
387,-0.261889881,7.513985368,3.626047744,-3.626047744,1.690899329,3.887937624,0.128602886,-7.513985368,0.261889881,3.989915403,0.36386766,4.353783063,1.278514632,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
388,-0.179457781,7.596180727,3.708361473,-3.708361473,1.76859364,3.887819254,0.128606802,-7.596180727,0.179457781,4.108751784,0.400390311,4.509142094,1.196319273,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
389,-0.261971516,7.513906454,3.625967469,-3.625967469,1.690823871,3.887938985,0.128602841,-7.513906454,0.261971516,3.989799978,0.363832509,4.353632487,1.278593546,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
390,-0.266703613,7.508404269,3.620850328,-3.620850328,1.686221889,3.887553941,0.128615579,-7.508404269,0.266703613,3.982591295,0.361740967,4.344332263,1.284095731,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
391,-0.179117636,7.60001212,3.710447242,-3.710447242,1.76978906,3.889564878,0.128549083,-7.60001212,0.179117636,4.11120829,0.400761048,4.511969339,1.19248788,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
392,-0.266711776,7.508423317,3.62085577,-3.62085577,1.686221056,3.887567546,0.128615129,-7.508423317,0.266711776,3.982594885,0.361739115,4.344334,1.284076683,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
393,-0.271582653,7.509226059,3.618821703,-3.618821703,1.683098892,3.890404356,0.128521345,-7.509226059,0.271582653,3.978810287,0.359988584,4.338798872,1.283273941,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
394,-0.201978101,7.587404986,3.692713442,-3.692713442,1.750604947,3.894691543,0.128379872,-7.587404986,0.201978101,4.083798111,0.391084669,4.47488278,1.205095014,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
395,-0.271530951,7.509239665,3.618854357,-3.618854357,1.683137507,3.890385308,0.128521974,-7.509239665,0.271530951,3.978862849,0.360008492,4.338871341,1.283260335,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
396,-0.273765023,7.50474703,3.615491003,-3.615491003,1.68049816,3.889256026,0.128559292,-7.50474703,0.273765023,3.974400666,0.358909662,4.333310328,1.28775297,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
397,-0.202535939,7.58220757,3.689835816,-3.689835816,1.748919323,3.892371754,0.128456384,-7.58220757,0.202535939,4.0803837,0.390547884,4.470931584,1.21029243,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
398,-0.273784071,7.504632741,3.615424335,-3.615424335,1.680456761,3.889208406,0.128560866,-7.504632741,0.273784071,3.974319979,0.358895644,4.333215624,1.287867259,441.949,6.8078,10,2,0,187.283,-6.296,1.029,95.605,-2.734,1,1,1,-0.028,0.109,1.291,-1.473,0,1,0,1,0,1,0,0.457,0,1,0.289,0,1,2.472,1.017,0,0,0.287,-2.222,400.04,0.163,-0.063,-0.106,0.439,0,0.219
399,-0.233192527,7.479426636,3.623117054,-3.623117054,1.702012884,3.856309582,0.12965764,-7.479426636,0.233192527,3.99561011,0.372493055,4.368103165,1.313073364,441.949,6.8078,10,2,0,187.283,-6.23,1.022,95.585,-2.735,1,1,1,0.376,0.106,1.277,-1.41,0,1,0,1,0,1,0,0.497,0,1,0.249,1,1,2.553,0.767,0,0,0.29,1.227,400.04,0.173,-0.079,-0.068,0.505,0.007,0.209
400,-0.266153938,7.443096429,3.588471245,-3.588471245,1.670347344,3.854625184,0.129714298,-7.443096429,0.266153938,3.946411115,0.35793987,4.304350985,1.349403571,441.949,6.8078,10,2,0,187.283,-6.23,1.022,95.585,-2.735,1,1,1,0.376,0.106,1.277,-1.41,0,1,0,1,0,1,0,0.497,0,1,0.249,1,1,2.553,0.767,0,0,0.29,1.227,400.04,0.173,-0.079,-0.068,0.505,0.007,0.209
401,-0.390162642,7.288545425,3.449191392,-3.449191392,1.549338919,3.839354034,0.130230241,-7.288545425,0.390162642,3.753853869,0.304662477,4.058516346,1.503954575,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
402,-0.291833525,7.406755337,3.557460906,-3.557460906,1.643876342,3.849294431,0.129893935,-7.406755337,0.291833525,3.903768599,0.346307693,4.250076292,1.385744663,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
403,-0.390108219,7.288409367,3.449150574,-3.449150574,1.549340683,3.839258793,0.130233471,-7.288409367,0.390108219,3.753823319,0.304672745,4.058496065,1.504090633,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
404,-0.306933242,7.37460211,3.533834434,-3.533834434,1.625714813,3.840767676,0.130182308,-7.37460211,0.306933242,3.872727989,0.338893555,4.211621545,1.41789789,441.949,6.8078,10,2,0,187.283,-6.23,1.022,95.585,-2.735,1,1,1,0.376,0.106,1.277,-1.41,0,1,0,1,0,1,0,0.497,0,1,0.249,1,1,2.553,0.767,0,0,0.29,1.227,400.04,0.173,-0.079,-0.068,0.505,0.007,0.209
405,-0.297863616,7.400956545,3.551546464,-3.551546464,1.638365623,3.84941008,0.129890032,-7.400956545,0.297863616,3.895315115,0.343768651,4.239083766,1.391543455,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
406,-0.230191088,7.475317684,3.622563298,-3.622563298,1.703062736,3.852754386,0.129777284,-7.475317684,0.230191088,3.995938683,0.373375385,4.369314068,1.317182316,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
407,-0.297855452,7.400951102,3.551547825,-3.551547825,1.638369774,3.849403277,0.129890262,-7.400951102,0.297855452,3.895319096,0.343771271,4.239090367,1.391548898,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
408,-0.390236113,7.288488281,3.449126084,-3.449126084,1.549276954,3.839362197,0.130229964,-7.288488281,0.390236113,3.753760271,0.304634187,4.058394458,1.504011719,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
409,-0.292004958,7.407141741,3.557568392,-3.557568392,1.643856567,3.84957335,0.129884523,-7.407141741,0.292004958,3.903837431,0.34626904,4.250106471,1.385358259,441.949,6.8094,11,2,0,187.283,-6.303,1.006,95.614,-2.734,1,1,1,0.169,0.115,1.325,-1.521,0,1,0,1,0,1,0,0.508,0,1,0.244,1,1,2.547,0.81,0,0,0.288,-0.34,400.25,0.15,-0.097,-0.088,0.512,-0.002,0.205
